iso3,year,corr_d01,corr_d02,corr_d03,corr_d04,corr_d05,corr_d06,corr_d07,corr_analysis_d01,corr_analysis_d02,corr_analysis_d03,corr_analysis_d05,corr_analysis_d07,lat,lon,income_group_2020,gdp_pc_2011_2020
TGO,2013.0,0.17053128623001282,0.18294008881011647,0.18222303783496047,0.14544635528205613,0.0850700544533944,0.13081485992893455,0.1205669441730395,0.6703190521362469,0.5890977556120366,0.5911631124528766,0.514283119109424,0.46857483659938787,7.377730252590896,0.613120001723915,Low,1890.6771289493631
TGO,2014.0,0.22869410115290528,0.23156532385230055,0.21758780551730805,0.1885930435392727,0.2089269524231368,0.16905933509043522,0.12395087052141816,0.5943851109656045,0.5331393019774567,0.4975461777483343,0.4263161858141812,0.33043662656105427,7.377730252590896,0.613120001723915,Low,1890.6771289493631
TGO,2015.0,0.3081305624099477,0.33066671995944896,0.3193893006866554,0.30708826887494967,0.29732868193530315,0.24125818784132344,0.21259555080582285,0.7296549494642397,0.6240037173005627,0.5930048081814924,0.5382042379871707,0.48666077550486053,7.377730252590896,0.613120001723915,Low,1890.6771289493631
TGO,2016.0,0.2364045323963834,0.2668954116334324,0.2317059571264723,0.16490654403463736,0.17718141376482863,0.19050414812740443,0.14948964579063567,0.6641776998692405,0.6234487165690595,0.5770615758930109,0.48324707717812543,0.4558717461261377,7.377730252590896,0.613120001723915,Low,1890.6771289493631
TGO,2017.0,0.22874430879464447,0.1550248615563746,0.18133901635587943,0.16479019450552926,0.1715583699121373,0.15293553761506756,0.17768892009154466,0.6137258427455814,0.5094249344447388,0.47944333236687287,0.4459666081977203,0.44059291255751687,7.377730252590896,0.613120001723915,Low,1890.6771289493631
TGO,2018.0,0.34042426916633567,0.2653682139588385,0.24098148673430747,0.19877300167754333,0.20964648374553038,0.21483100001887503,0.20948234643521377,0.6439578716482339,0.5176493952015833,0.4588587126475581,0.4390126019403643,0.41425074647505217,7.377730252590896,0.613120001723915,Low,1890.6771289493631
TGO,2019.0,0.3396772880936991,0.3059753262969883,0.23423520784664403,0.20385393597526827,0.255642783525147,0.2180900368717715,0.19334562915373657,0.6553425405214781,0.5868818718723369,0.5322928319415957,0.47456419782181924,0.44593009685116125,7.377730252590896,0.613120001723915,Low,1890.6771289493631
TGO,2020.0,0.30653464489598803,0.28437303908068,0.24566618794394687,0.22485220202124456,0.204462522270457,0.22251567202085418,0.16174853520881508,0.7148713269098085,0.6331234119092678,0.6115352785414531,0.5320690404175187,0.5008698130914514,7.377730252590896,0.613120001723915,Low,1890.6771289493631
THA,1985.0,0.37861306065919764,0.35924347034963583,0.3345018157986401,0.3357563650995665,0.2688818862744552,0.20780422222499093,0.13024202965658271,0.013002856688963676,0.02360049953314233,-0.013142014472477925,0.04333725623318762,0.02060934807359247,15.344144827690887,101.3216477636165,Upper middle,16212.27660133584
THA,1986.0,0.37228780796620026,0.32556162437635466,0.33740662715494296,0.35045706861807246,0.3460782683329597,0.3075094438869079,0.2824296097022221,0.7913997646237176,0.6944549133086315,0.6417337398613867,0.5697504279882389,0.4585668682109916,15.344144827690887,101.3216477636165,Upper middle,16212.27660133584
THA,1987.0,0.3683768668783956,0.29437003370748516,0.25796781748838626,0.22532855688067563,0.20796631364865423,0.17342351539314269,0.15308279920094586,0.7339323233758328,0.7121387728965777,0.6948542975471198,0.6612602980166462,0.606165826028639,15.344144827690887,101.3216477636165,Upper middle,16212.27660133584
THA,1988.0,0.3556352883045017,0.3438606806831489,0.300995219773255,0.2826992564489779,0.29612750363968116,0.24143712724963529,0.2640251974366632,0.810781458744532,0.7215049508019227,0.6633509231901474,0.647127368716052,0.6006439375156037,15.344144827690887,101.3216477636165,Upper middle,16212.27660133584
THA,1989.0,0.25125975764972786,0.21683283372498063,0.1867792779826564,0.17555811193805743,0.14921742903800173,0.13530615100175827,0.13799630129121027,0.79106501661144,0.685036706197065,0.6343053680853171,0.5502263626954855,0.5163454654416303,15.344144827690887,101.3216477636165,Upper middle,16212.27660133584
THA,1990.0,0.31086559673954706,0.2846810868496324,0.24599009403374322,0.23622357723818835,0.23364971759702777,0.23067249250939012,0.211018874600611,0.8508547936202444,0.7822290148574947,0.7457866600050687,0.6817808722216517,0.6252808202807251,15.344144827690887,101.3216477636165,Upper middle,16212.27660133584
THA,1991.0,0.2629066675436094,0.2594501752671036,0.2518447824766174,0.2237132337478013,0.2125089744202265,0.20411127953824398,0.1901711413339711,0.7941243368693963,0.6839595793448481,0.6229374533986217,0.49890470309213303,0.4354617653251292,15.344144827690887,101.3216477636165,Upper middle,16212.27660133584
THA,1992.0,0.33877079201459787,0.32222672833751986,0.3318151075420818,0.3319763815655582,0.30826204269899943,0.302677211122894,0.27430693622497254,0.8130834998386286,0.7500975908193824,0.7137698107748461,0.6501609348939976,0.5875135542536999,15.344144827690887,101.3216477636165,Upper middle,16212.27660133584
