radiosonde_id,year,nobs,lat,lon,year_first,year_last
AGM00060419,1992,503,36.283,6.617,1973,2008
AGM00060419,1993,155,36.283,6.617,1973,2008
AGM00060419,1997,9,36.283,6.617,1973,2008
AGM00060419,1998,254,36.283,6.617,1973,2008
AGM00060419,1999,254,36.283,6.617,1973,2008
AGM00060419,2000,276,36.283,6.617,1973,2008
AGM00060419,2001,278,36.283,6.617,1973,2008
AGM00060419,2002,268,36.283,6.617,1973,2008
AGM00060419,2003,233,36.283,6.617,1973,2008
AGM00060419,2004,220,36.283,6.617,1973,2008
AGM00060419,2005,272,36.283,6.617,1973,2008
AGM00060419,2006,261,36.283,6.617,1973,2008
AGM00060419,2007,248,36.283,6.617,1973,2008
AGM00060419,2008,129,36.283,6.617,1973,2008
AGM00060430,1985,855,36.3,2.233,1973,1990
AGM00060430,1986,1031,36.3,2.233,1973,1990
AGM00060430,1987,1125,36.3,2.233,1973,1990
AGM00060430,1988,1078,36.3,2.233,1973,1990
AGM00060430,1989,989,36.3,2.233,1973,1990
AGM00060430,1990,43,36.3,2.233,1973,1990
AGM00060445,1985,788,36.183,5.25,1983,1989
AGM00060445,1986,893,36.183,5.25,1983,1989
AGM00060445,1987,861,36.183,5.25,1983,1989
AGM00060445,1988,934,36.183,5.25,1983,1989
AGM00060445,1989,673,36.183,5.25,1983,1989
AGM00060475,1987,601,35.417,8.117,1974,1991
AGM00060475,1988,1116,35.417,8.117,1974,1991
AGM00060475,1989,1090,35.417,8.117,1974,1991
AGM00060475,1990,854,35.417,8.117,1974,1991
AGM00060475,1991,46,35.417,8.117,1974,1991
AGM00060490,1985,1143,35.633,-0.6,1973,2008
AGM00060490,1986,1230,35.633,-0.6,1973,2008
AGM00060490,1987,1250,35.633,-0.6,1973,2008
AGM00060490,1988,1264,35.633,-0.6,1973,2008
AGM00060490,1989,1123,35.633,-0.6,1973,2008
AGM00060490,1990,941,35.633,-0.6,1973,2008
AGM00060490,1991,738,35.633,-0.6,1973,2008
AGM00060490,1992,618,35.633,-0.6,1973,2008
AGM00060490,1993,566,35.633,-0.6,1973,2008
AGM00060490,1994,537,35.633,-0.6,1973,2008
AGM00060490,1995,1024,35.633,-0.6,1973,2008
AGM00060490,1996,1162,35.633,-0.6,1973,2008
AGM00060490,1997,1139,35.633,-0.6,1973,2008
AGM00060490,1998,1292,35.633,-0.6,1973,2008
AGM00060490,1999,1053,35.633,-0.6,1973,2008
AGM00060490,2000,1118,35.633,-0.6,1973,2008
AGM00060490,2001,1207,35.633,-0.6,1973,2008
AGM00060490,2002,1269,35.633,-0.6,1973,2008
AGM00060490,2003,1115,35.633,-0.6,1973,2008
AGM00060490,2004,1212,35.633,-0.6,1973,2008
AGM00060490,2005,1227,35.633,-0.6,1973,2008
AGM00060490,2006,1271,35.633,-0.6,1973,2008
AGM00060490,2007,1029,35.633,-0.6,1973,2008
AGM00060490,2008,593,35.633,-0.6,1973,2008
AGM00060511,1987,74,35.35,1.467,1987,1988
AGM00060511,1988,206,35.35,1.467,1987,1988
AGM00060525,1985,1186,34.8,5.733,1973,2002
AGM00060525,1986,1249,34.8,5.733,1973,2002
AGM00060525,1987,1337,34.8,5.733,1973,2002
AGM00060525,1988,1298,34.8,5.733,1973,2002
AGM00060525,1989,1147,34.8,5.733,1973,2002
AGM00060525,1990,963,34.8,5.733,1973,2002
AGM00060525,1991,493,34.8,5.733,1973,2002
AGM00060525,1992,266,34.8,5.733,1973,2002
AGM00060525,1997,74,34.8,5.733,1973,2002
AGM00060525,2000,70,34.8,5.733,1973,2002
AGM00060525,2001,38,34.8,5.733,1973,2002
AGM00060525,2002,141,34.8,5.733,1973,2002
AGM00060535,1985,627,34.6833,3.25,1974,1989
AGM00060535,1986,663,34.6833,3.25,1974,1989
AGM00060535,1987,705,34.6833,3.25,1974,1989
AGM00060535,1988,727,34.6833,3.25,1974,1989
AGM00060535,1989,596,34.6833,3.25,1974,1989
AGM00060549,1985,921,33.5333,-0.2833,1982,2012
AGM00060549,1986,820,33.5333,-0.2833,1982,2012
AGM00060549,1987,701,33.5333,-0.2833,1982,2012
AGM00060549,1988,391,33.5333,-0.2833,1982,2012
AGM00060549,1989,141,33.5333,-0.2833,1982,2012
AGM00060549,1990,71,33.5333,-0.2833,1982,2012
AGM00060549,1997,67,33.5333,-0.2833,1982,2012
AGM00060549,1999,21,33.5333,-0.2833,1982,2012
AGM00060549,2000,247,33.5333,-0.2833,1982,2012
AGM00060549,2002,146,33.5333,-0.2833,1982,2012
AGM00060549,2003,240,33.5333,-0.2833,1982,2012
AGM00060549,2004,199,33.5333,-0.2833,1982,2012
AGM00060549,2005,158,33.5333,-0.2833,1982,2012
AGM00060549,2008,211,33.5333,-0.2833,1982,2012
AGM00060549,2010,65,33.5333,-0.2833,1982,2012
AGM00060549,2011,125,33.5333,-0.2833,1982,2012
AGM00060549,2012,33,33.5333,-0.2833,1982,2012
AGM00060550,1985,846,33.683,1.0,1977,1991
AGM00060550,1986,954,33.683,1.0,1977,1991
AGM00060550,1987,934,33.683,1.0,1977,1991
AGM00060550,1988,847,33.683,1.0,1977,1991
AGM00060550,1989,730,33.683,1.0,1977,1991
AGM00060550,1990,590,33.683,1.0,1977,1991
AGM00060550,1991,62,33.683,1.0,1977,1991
AGM00060559,1985,1158,33.5,6.783,1973,2008
AGM00060559,1986,1240,33.5,6.783,1973,2008
AGM00060559,1987,1272,33.5,6.783,1973,2008
AGM00060559,1988,1276,33.5,6.783,1973,2008
AGM00060559,1989,1128,33.5,6.783,1973,2008
AGM00060559,1990,899,33.5,6.783,1973,2008
AGM00060559,1991,564,33.5,6.783,1973,2008
AGM00060559,1992,593,33.5,6.783,1973,2008
AGM00060559,1993,587,33.5,6.783,1973,2008
AGM00060559,1994,592,33.5,6.783,1973,2008
AGM00060559,1995,545,33.5,6.783,1973,2008
AGM00060559,1996,505,33.5,6.783,1973,2008
AGM00060559,1997,556,33.5,6.783,1973,2008
AGM00060559,1998,611,33.5,6.783,1973,2008
AGM00060559,1999,639,33.5,6.783,1973,2008
AGM00060559,2000,636,33.5,6.783,1973,2008
AGM00060559,2001,256,33.5,6.783,1973,2008
AGM00060559,2002,279,33.5,6.783,1973,2008
AGM00060559,2003,615,33.5,6.783,1973,2008
AGM00060559,2004,616,33.5,6.783,1973,2008
AGM00060559,2005,658,33.5,6.783,1973,2008
AGM00060559,2006,667,33.5,6.783,1973,2008
AGM00060559,2007,666,33.5,6.783,1973,2008
AGM00060559,2008,334,33.5,6.783,1973,2008
AGM00060566,1985,1194,32.383,3.817,1973,2008
AGM00060566,1986,1326,32.383,3.817,1973,2008
AGM00060566,1987,1374,32.383,3.817,1973,2008
AGM00060566,1988,1376,32.383,3.817,1973,2008
AGM00060566,1989,1237,32.383,3.817,1973,2008
AGM00060566,1990,1036,32.383,3.817,1973,2008
AGM00060566,1991,596,32.383,3.817,1973,2008
AGM00060566,1992,651,32.383,3.817,1973,2008
AGM00060566,1993,641,32.383,3.817,1973,2008
AGM00060566,1994,625,32.383,3.817,1973,2008
AGM00060566,1995,655,32.383,3.817,1973,2008
AGM00060566,1996,622,32.383,3.817,1973,2008
AGM00060566,1997,638,32.383,3.817,1973,2008
AGM00060566,1998,677,32.383,3.817,1973,2008
AGM00060566,1999,639,32.383,3.817,1973,2008
AGM00060566,2000,579,32.383,3.817,1973,2008
AGM00060566,2001,139,32.383,3.817,1973,2008
AGM00060566,2002,466,32.383,3.817,1973,2008
AGM00060566,2003,622,32.383,3.817,1973,2008
AGM00060566,2004,625,32.383,3.817,1973,2008
AGM00060566,2005,628,32.383,3.817,1973,2008
AGM00060566,2006,636,32.383,3.817,1973,2008
AGM00060566,2007,673,32.383,3.817,1973,2008
AGM00060566,2008,255,32.383,3.817,1973,2008
AGM00060571,1985,1143,31.5,-2.25,1948,2023
AGM00060571,1986,1295,31.5,-2.25,1948,2023
AGM00060571,1987,1333,31.5,-2.25,1948,2023
AGM00060571,1988,1338,31.5,-2.25,1948,2023
AGM00060571,1989,1214,31.5,-2.25,1948,2023
AGM00060571,1990,1030,31.5,-2.25,1948,2023
AGM00060571,1991,1031,31.5,-2.25,1948,2023
AGM00060571,1992,1306,31.5,-2.25,1948,2023
AGM00060571,1993,1294,31.5,-2.25,1948,2023
AGM00060571,1994,1257,31.5,-2.25,1948,2023
AGM00060571,1995,1302,31.5,-2.25,1948,2023
AGM00060571,1996,1265,31.5,-2.25,1948,2023
AGM00060571,1997,1241,31.5,-2.25,1948,2023
AGM00060571,1998,1336,31.5,-2.25,1948,2023
AGM00060571,1999,850,31.5,-2.25,1948,2023
AGM00060571,2000,1062,31.5,-2.25,1948,2023
