iso3,year_all,corr_d01_all,corr_d02_all,corr_d03_all,corr_d04_all,corr_d05_all,corr_d06_all,corr_d07_all,lat,lon,year_subset,corr_d01_subset,corr_d02_subset,corr_d03_subset,corr_d04_subset,corr_d05_subset,corr_d06_subset,corr_d07_subset,income_group_2020,gdp_pc_2011_2020,log_gdp_pc_2011_2020
KEN,2015.5,0.541668796023811,0.5133761041163757,0.4857089550364396,0.4642472282495226,0.4502842099598235,0.43120076757386594,0.41610192932762147,-0.5195598062652309,36.06260964319506,2015.5,0.5931281569543201,0.5597656905910559,0.5391042670402798,0.5258750456384911,0.5058856631829486,0.4872152550940901,0.46620892324956886,Lower middle,4201.545767008944,8.343207776325473
KGZ,2015.5,0.7097869752311499,0.6945759543668432,0.6772279869828455,0.654619965183205,0.6193058121213284,0.5783518792919317,0.5241183840033673,41.153926495828635,72.24957855632837,2015.5,0.7773848603013167,0.7603827623419758,0.7411181456151643,0.7153400672111452,0.6792481509084332,0.6351117953333754,0.5757667224859321,Lower middle,4782.939854348571,8.47281066872115
KHM,2015.5,0.5722433872422883,0.5389252933987025,0.5008128543866475,0.47618143353366904,0.45253464742964,0.4245073379391663,0.40244931253852617,12.654380004384908,104.27878912341548,2015.5,0.6347858674982892,0.607886293653908,0.5739235449153625,0.5444312571160778,0.5124391154113243,0.48813719463365973,0.45902859703200943,Lower middle,3671.174104485855,8.208266809363726
KOR,2015.5,0.4746036776817821,0.45552719350796683,0.44488468603906295,0.4329001422427455,0.4124369215891283,0.38087498574705836,0.3415313131514074,36.80124884792497,127.33804990322749,2015.5,0.45361247503381613,0.4337545872756562,0.424034488088176,0.411571613601052,0.39066181671498124,0.36130762900586316,0.32548582099475487,High,39314.88410140519,10.579358456472782
KWT,2015.5,0.8412750142969745,0.8213311744069696,0.7985971720221381,0.7755853397457377,0.7391212318044909,0.6946026175086806,0.6387137663101332,29.390050403172086,47.70175823681895,2015.5,0.8802516142948862,0.8653538428055585,0.8427951990649518,0.8257668734459707,0.7895909193184567,0.7623843565413893,0.7155381592078844,High,53205.237664750624,10.881912122828558
LAO,2015.5,0.6864928764093458,0.6744068529981969,0.6516246077858651,0.6276314000549844,0.6031842655241108,0.5815566927989025,0.5499320637991565,18.34743545311457,102.84766315814352,2015.5,0.70242501051867,0.6842552148274785,0.65862036526283,0.6353648727152426,0.6121202880177565,0.5912417247971593,0.5601378241809054,Lower middle,6618.442370999081,8.797615329855825
LBN,2015.5,0.8628550635410287,0.8524100291451682,0.8363408283489357,0.814895336560048,0.7799468537140042,0.7332205620758702,0.6774234976007303,34.01291548656104,35.78586806949761,2015.5,0.8566097707890412,0.8443035738866371,0.8257612106586697,0.800927968015063,0.7635183209901067,0.7176797725649815,0.6637985593204518,Lower middle,17405.56010785298,9.764544980586866
LBR,2015.5,0.1294344213732074,0.11178043795344328,0.103978303798646,0.08453064219765474,0.0579448480659646,0.08189967403631512,0.04814466471411264,6.2265650996500606,-9.865191774344904,2015.5,0.303053989692318,0.33763257120562673,0.30818341486000406,0.23746853713085914,0.248170021064929,0.2645860972986206,0.28455556804538074,Low,1526.519380200979,7.33074550793514
LBY,2015.5,0.7763163788684906,0.7527391990503479,0.7349058680147541,0.6931529159117497,0.6338508671788692,0.5447501084342318,0.46704924195667463,32.07719802292345,14.153788546862344,2015.5,0.7579258621256786,0.734300732998353,0.7115427922085408,0.6690554000140964,0.6175665718883613,0.5364842253340323,0.45419429931410427,Upper middle,22111.90264211367,10.003871323614218
LIE,2015.5,0.7286349334696555,0.719026614001366,0.6999439451565539,0.6737037589723882,0.6307723841705795,0.560185886571404,0.48008924097497585,47.35137808498668,9.39606824566244,2015.5,0.6602795178715632,0.6483718616431615,0.6295293398616288,0.606593868362779,0.5630838538466081,0.4965111810188034,0.41711280611175405,High,,
LKA,2015.5,0.5111904018367547,0.4777925032420948,0.44660643382469206,0.41556833762971346,0.38897595924454476,0.3689753665524343,0.3344288403817686,7.312918339880835,80.35470888125755,2015.5,0.4299307453560178,0.39957255872730996,0.3846606462881745,0.35926915064710496,0.3317956104960151,0.31816004575441836,0.28365749107145877,Lower middle,12408.696233744611,9.426152814963718
LSO,2015.5,0.8669052871593224,0.8499610490109089,0.8269749561085927,0.7856828614584166,0.73740136071251,0.6761482824578761,0.5979547905296378,-29.223936917542453,27.973625459834288,2015.5,0.8732092571020974,0.8512421293908071,0.8218331217632097,0.7953015995482356,0.7427952872568597,0.6819891540543951,0.6076182470942629,Lower middle,2532.336314355013,7.836897600018181
LTU,2015.5,0.44599180153442947,0.42256499885097315,0.4013443878676767,0.3787698371868288,0.3466737120185778,0.3018237290788896,0.2513826309343469,55.04417728811154,23.87872396899768,2015.5,0.44443713825051623,0.4212747648088821,0.40056938637347894,0.3789505708117156,0.34921719493188164,0.30287430463328585,0.2557971254893305,High,31797.778176251966,10.367151697656016
LUX,2015.5,0.8846302639791208,0.8664705571798972,0.8452393535762022,0.8166781430902146,0.7616530781548005,0.6867935927907253,0.6010336817409943,50.07777770732837,5.986769440042537,2015.5,0.887548570748438,0.8698444151738016,0.8493582959568757,0.8203605504439716,0.766417769598504,0.6948465393014867,0.6036675740959951,High,113641.0318844258,11.640799916219276
LVA,2015.5,0.4147535556781068,0.3934996682091474,0.37216145736176764,0.34501887569734213,0.31300402477480727,0.28266165724476444,0.2437119433500674,56.783154653684356,24.720314483136885,2015.5,0.36746415884550887,0.3469313300259171,0.32612491539431443,0.30094984790686474,0.2729226603791063,0.2430986338148453,0.2081801610907638,High,27069.62520569785,10.206167537137466
MAR,2015.5,0.7777414448115996,0.7623448785485732,0.7426167437263869,0.7154057930675654,0.6756394373806435,0.6041533264448636,0.5475776783786842,33.41818508357079,-6.295038121926643,2015.5,0.8056763713271898,0.7899891482481275,0.769536659788488,0.7411042256079783,0.699211536221623,0.6314030754462384,0.564193266725876,Lower middle,7311.71923828125,8.897233715006367
MCO,2015.5,0.7650776320420427,0.7537655027223422,0.7292625072064085,0.690679204133591,0.6442382791099882,0.5898661976696772,0.5275727834881463,43.39324528436669,6.812908850879856,2015.5,0.7756093911955552,0.7630654141454121,0.7394906331128277,0.6980660816573269,0.6512089287539979,0.5932228609143273,0.5293250462568335,,,
MDA,2015.5,0.7243620745367123,0.7008097511688873,0.6742825034406876,0.6412284756422425,0.6115772305391248,0.5607712379438186,0.49035188610537694,47.39374369189396,28.123494722160718,2015.5,0.7249748625519199,0.6987593375247749,0.6726152409258142,0.6451868566480562,0.603532841891208,0.5552815669821646,0.4824836387292909,Upper middle,10871.870642252929,9.293934057512672
MDG,2015.5,0.6596142402056616,0.6364371264199288,0.6198560483927983,0.5792941159419355,0.5347595051024902,0.47676062401199787,0.44132524332026435,-18.623063341768024,47.480150154426255,2015.5,0.7066231239608125,0.6813319192415581,0.6575695424668627,0.6239353672162192,0.5786504929561493,0.5264105295957686,0.4772973433765146,Low,1514.65304285748,7.3229416771000935
MEX,2015.5,0.6010762330039817,0.585560602249798,0.5680419621276644,0.5458723417626532,0.52065243068677,0.47974442481424395,0.43802635445956684,21.65823612180167,-100.38841913234772,2015.5,0.6121243035203359,0.5992595028601684,0.5829925564575256,0.5639189317661701,0.5379004956621605,0.5024432416737051,0.4620895424166383,Upper middle,19333.40722381484,9.8695898227746
MKD,2015.5,0.801296052480296,0.7795169463494226,0.7740886774518996,0.76010627942696,0.7158963607073594,0.6656776991474496,0.5860897521606779,41.610450245796315,21.06735245181276,2015.5,0.822089291978935,0.8078376296199543,0.7911278397870685,0.7641992119092313,0.7267849879620492,0.6720239950233503,0.5967265996154961,Upper middle,15136.55287554404,9.624867817814307
MLI,2015.5,0.5907494548633163,0.5619839838323963,0.5408185511184181,0.5133064877241963,0.49020480897912877,0.4583369329415283,0.4146639922638128,12.826213489678192,-6.525872280298536,2015.5,0.5938869057095222,0.5667471390935261,0.547459149391943,0.5219919419910749,0.49828940097643726,0.4640827604967302,0.42026689568541736,Low,2074.6973333634983,7.637570558586415
MLT,2015.5,0.5982570191238649,0.5923571341279186,0.5736048155292015,0.556919608374492,0.5305969869892889,0.49407583022336105,0.4378229668752699,36.26929702066887,14.740505801950741,2015.5,0.5982570191238649,0.5923571341279186,0.5736048155292015,0.556919608374492,0.5305969869892889,0.49407583022336105,0.4378229668752699,High,39406.55996588509,10.581687578023073
MMR,2015.5,0.5640454000495123,0.5445753348748792,0.5225148771939732,0.4963040991808249,0.4691080335567078,0.44170151001848834,0.40646173118416007,19.544699118068383,96.51944468524371,2015.5,0.5859016187163137,0.5627431178646318,0.5385958950406556,0.5116010558704687,0.4847986991200842,0.4528771080890703,0.4158678683589862,Lower middle,3977.752982657827,8.288472361623102
MNE,2015.5,0.7629879571541605,0.7340535211385986,0.736463441756039,0.7290101480624297,0.681058192905877,0.6411589893900242,0.5494507514456859,42.54472788235103,19.89245898365737,2015.5,0.8023540278126223,0.7928499898653739,0.7774322149062216,0.7539132687706177,0.718150237229625,0.6724463293088676,0.5957242431720114,Upper middle,18640.28460973094,9.833080356885405
MNG,2015.5,0.5422972301810478,0.5407040846323881,0.5301452473957239,0.5136287752777785,0.49386748058744184,0.4624486018664073,0.4306155150788283,47.924543665611615,105.17871424147333,2015.5,0.5479986215975245,0.5466667588303066,0.5376989858493242,0.5203251127300684,0.5019539527694253,0.4738054047264327,0.4410334170855571,Lower middle,10968.764076032814,9.302806882932495
MOZ,2015.5,0.7294772734899126,0.7110416355237346,0.6907010673403511,0.6693934537778174,0.630816530224798,0.5753966278149121,0.5311557493807848,-18.01512140241584,34.753812897713956,2015.5,0.7526575066401474,0.7319182269366966,0.7070552618088903,0.6819447994062771,0.6421599063389463,0.5925597022212343,0.5408850769847092,Low,1228.857022828516,7.113839766613359
MRT,2015.5,0.7802075185532839,0.7398051723032596,0.7259137844577064,0.6902692703593152,0.6536084049751932,0.6321630065563689,0.5860185774993443,16.377338444436774,-14.366173226808797,2015.5,0.7890581251387001,0.743715196913793,0.7322957068118112,0.7014651052367681,0.660167501226822,0.6327035637471379,0.5855322797874645,Lower middle,5135.363605219008,8.543905929051329
MWI,2015.5,0.6793153870591063,0.6588964091264192,0.6443709064114285,0.6257630085980479,0.5998845426924666,0.5400733796559717,0.5210636307882911,-13.902180630649585,34.37192204686311,2015.5,0.7221629538698368,0.7005786981092801,0.675078610923838,0.6460293283226523,0.6299520911777201,0.5867451933733334,0.5321913896535909,Low,1441.474233840178,7.273421642371482
MYS,2015.5,0.45464050667001404,0.39686733719636036,0.3614521318418432,0.3380301509657015,0.31488540167637996,0.2827739612436714,0.27158299491470334,3.548246336590617,103.51702711936005,2015.5,0.4537426732329751,0.3934934797105861,0.3596770261172361,0.34470533887486265,0.32147240036766805,0.28820507206962537,0.26860004141776456,Upper middle,24355.74153786214,10.100522892825474
NAM,2015.5,0.7506131609631252,0.7335900703664172,0.7145634106707309,0.6728790814621463,0.6516033729593944,0.6067875227381374,0.5412180676748414,-20.17992546521702,18.649800133202394,2015.5,0.7587731446876633,0.741082843312034,0.7184790613400819,0.6915413690956107,0.653509122770956,0.6103099103602245,0.5444312160115538,Upper middle,10095.5644431909,9.219851442328077
NCL,2015.5,0.575062215861583,0.5656395290693619,0.5336936085368037,0.5127254417934884,0.4725024108086798,0.4247228071407981,0.39533530709685055,-21.583293372169795,165.5717759644657,2015.5,0.5958742743961618,0.5854786707434225,0.559869925774392,0.5350567496575555,0.4880691739061197,0.43422456755671257,0.4042999559008808,High,,
NER,2015.5,0.6869536382858851,0.6579629660297108,0.6578805929310112,0.6388202051654651,0.6251476061723057,0.6018603291737129,0.5573482005610237,13.173841873330066,6.849138187073689,2015.5,0.6646967203599286,0.6392661701332332,0.6384985952354787,0.6219673622772981,0.6007632684554218,0.5775386218281289,0.543728403598846,Low,1134.3985824960669,7.033857906214377
NGA,2015.5,0.4232950404172901,0.3669190688268735,0.36352459735061443,0.34323591048791685,0.33780952218180593,0.33463844432249756,0.3025000371003831,8.743196206866404,6.235464791812253,2015.5,0.30940114217032305,0.28443564175694486,0.27474519518458995,0.25051660694058947,0.24618225904905686,0.2517023522706955,0.23200625368662736,Lower middle,5147.42792351371,8.546252436572482
NIC,2015.5,0.5196856679636238,0.4977079092656996,0.4712061631700138,0.44178285068540674,0.4072665651354372,0.38308150791164386,0.3483025944323775,12.888972371278905,-86.15707936332576,2015.5,0.5087446917040588,0.48143989986835606,0.458450093523812,0.43381382877882996,0.4088628045826218,0.38282195329577473,0.35908550419990387,Lower middle,5382.832155494301,8.590969937598206
NLD,2015.5,0.9102396956480329,0.891197175320159,0.8663775245397604,0.826512372527249,0.772915119434072,0.7006701003081968,0.6046175462570706,51.52486338393426,5.0194366852745205,2015.5,0.9048771699173621,0.8851823575905321,0.8603952051028964,0.8203410553450148,0.7675632153679139,0.6958127326414406,0.597962353384477,High,53731.18895747839,10.891748911850984
NOR,2015.5,0.5181910544490061,0.4968752384537085,0.47406426981542926,0.4411804041944782,0.41095794941675834,0.37414984123079353,0.3233346248241479,61.03365998670482,10.073743827693056,2015.5,0.6149940887910643,0.5956345415610834,0.5721221826871269,0.5394231806760562,0.5049361483919335,0.4601098003326066,0.40565817928947395,High,62983.35465006124,11.050625758559766
NPL,2015.5,0.5588110352410561,0.5324288814433187,0.49888683025263714,0.48504083178932217,0.46422881970692914,0.42806008565027104,0.3985815995797574,27.109740545963113,85.4671823196401,2015.5,0.5075853883771746,0.4789759925388939,0.46373565031736985,0.4475221334450391,0.4297221648863829,0.409251104449153,0.37874848530864247,Lower middle,3318.793662116738,8.107356641097075
NZL,2015.5,0.8174041339107434,0.8014255538598445,0.7748478302603308,0.7312641475442027,0.6717129822705487,0.607241667804585,0.5325840306401337,-38.86962220714461,174.51880825907944,2015.5,0.8211474596413625,0.8027287959437874,0.7756678528735154,0.7300266043577925,0.6693627534569445,0.6058894023910887,0.5455505042963874,High,40926.59463962546,10.619535366406929
OMN,2015.5,0.6885056376521577,0.6688889271762645,0.6548582256825048,0.6313431056541576,0.5974667287448193,0.5626453720304909,0.5219348425962361,24.339798706355225,56.43181695021676,2015.5,0.7048704858330629,0.6876553986995926,0.6717611516917654,0.6445517761350852,0.606628338581495,0.5698808342517634,0.5220799672583812,High,35213.95684414098,10.469197784254344
PAK,2015.5,0.7045321934285864,0.6779570628709028,0.641254520445233,0.6099257706671056,0.5864221945022242,0.5453070462765024,0.5133839352268048,31.013135723045497,72.0459372655658,2015.5,0.7085336379629243,0.6808966432465267,0.6437869439423353,0.6111936445782113,0.5804641348155702,0.5385978624855945,0.5116122418638983,Lower middle,4636.953524932305,8.441812861682685
PAN,2015.5,0.4482144935683971,0.4209979369312508,0.38798345089506964,0.3864785998061597,0.37338853227352276,0.3715665655416278,0.3495636443574418,8.875988153384593,-79.94865100339602,2015.5,0.43370850972634195,0.3832156411651821,0.3789045848149937,0.3752824793082839,0.37065408726527865,0.35318643631274194,0.34557772121185726,High,27941.08288941477,10.237853389734008
PER,2015.5,0.46156976181667,0.43342077945717616,0.4220182406790706,0.40808467162931317,0.3895053435350572,0.38974899904826577,0.3732909993082109,-9.974294107750275,-76.55835093265016,2015.5,0.4295273154518878,0.39530375055326383,0.3886362656368576,0.3705598252776939,0.3577436686487946,0.35736232531722006,0.34036416854796914,Upper middle,11840.701943074231,9.379298192413287
PHL,2015.5,0.5048958516593853,0.4705009461550171,0.43338646102968414,0.41618752513851875,0.38792320250150625,0.35616080513981974,0.3396328666637208,13.315788492648025,122.20391115410499,2015.5,0.5042269866336426,0.4700372152453511,0.42862865052666255,0.4138668147445531,0.3837744237167544,0.35647315660791046,0.3385955712394747,Lower middle,7354.593263992629,8.903080330893571
PNG,2015.5,0.3957214350939665,0.37424104687764154,0.3364845992985507,0.3175143234552097,0.296267466595075,0.2674400653465563,0.24911910600698933,-5.4397114526846435,142.3108918588231,2015.5,0.47989232676203686,0.44214984474731756,0.38935553542308204,0.34529728794384973,0.34380846611187366,0.2969354747142414,0.2725295974707985,Lower middle,3675.4449964680016,8.209429491790727
POL,2015.5,0.7239895577568345,0.7022626754924353,0.6786876660899908,0.6506483333808599,0.6081365243032351,0.5472137816853608,0.46438064693892783,51.443393500419134,18.843981753899673,2015.5,0.712367184735439,0.6905105009044886,0.6694457756481424,0.6411708731866835,0.6002868854985455,0.5386302196964137,0.4600536081984069,High,28568.003967790788,10.26004262816362
PRI,2015.5,0.3401733384716229,0.3228005766536672,0.29536788607555303,0.2751540920215741,0.2670544868134523,0.29628276007657967,0.24727532047104459,18.36487615048779,-66.10842255212127,2015.5,0.23747441338687825,0.2344043733539432,0.18742118557832171,0.1780906454128474,0.1770766269821639,0.146903581953101,0.14150993427963132,High,33947.31817355158,10.432565136451428
PRK,2015.5,0.17891879203878094,0.1691300655732307,0.17432973575363678,0.1741517482073157,0.17058623264670836,0.15748896549457306,0.12579381032700485,39.66460539676561,126.48182835668827,2015.5,0.1702466582434903,0.16065103511391846,0.16609549073263846,0.16554349105533223,0.16265871046562935,0.15043384883470984,0.11854757655552395,Low,,
PRT,2015.5,0.7838870336098892,0.769672286339693,0.7534442104555883,0.7257906230297507,0.6838962358896994,0.6220940162951815,0.5467470641533793,40.051941606894424,-8.641645799808188,2015.5,0.8495913262373772,0.8353038526727982,0.8189617077636534,0.7900982655441309,0.7491194580272251,0.6824170561149854,0.6036999415835245,High,31895.77652402,10.370228882641486
PRY,2015.5,0.90409725360218,0.8898170370097913,0.8776384796718274,0.8611121676135205,0.8363895584622799,0.7934772323591038,0.7285096069908537,-25.430449664480676,-56.36792531145687,2015.5,0.912148080656171,0.897415406267237,0.8858649568666832,0.8711902172765005,0.8454135212397912,0.8012389462364388,0.7327101987200779,Upper middle,12810.6516468293,9.458032263763158
PSE,2015.5,0.8190508168710318,0.8183651728269463,0.7867060101911144,0.7586618893190601,0.7136904802732434,0.6656035064371406,0.6089972990073698,31.963510931802638,34.9342757500837,2015.5,0.8493133037570683,0.8314910035204027,0.8122738895450834,0.7794485655851213,0.7326518945299566,0.6796096050317553,0.6204553057371608,Lower middle,6070.955212529315,8.711271237822595
