radiosonde_id,lat,lon,year_first,year_last,iso3
NOM00001010,69.3153,16.1308,2014,2023,
NOM00001152,67.2669,14.3586,1942,2014,
NOM00001241,63.7056,9.6117,1959,2023,NOR
NOM00001384,60.2,11.083,1949,2001,NOR
NOM00001400,56.5422,3.2236,1994,2023,
NOM00001415,58.8742,5.665,1949,2023,NOR
NOM00001492,59.9428,10.7194,2001,2023,NOR
NRM00091532,-0.5167,166.9167,1951,2013,NRU
NSM00081225,5.45,-55.2,1974,1986,SUR
NSM00081251,2.033,-56.117,1977,1986,SUR
NSM00081253,3.367,-57.333,1977,1986,GUY
NUM00078741,12.15,-86.167,1947,2007,NIC
NZM00093012,-35.1,173.267,1973,1996,NZL
NZM00093072,-36.3,174.7,1994,2006,NZL
NZM00093112,-36.7928,174.6214,1957,2023,NZL
NZM00093119,-37.017,174.8,1967,1988,NZL
NZM00093246,-38.117,176.317,1973,1991,NZL
NZM00093291,-38.6667,177.9833,1973,2011,NZL
NZM00093308,-39.0167,174.1833,1973,2011,NZL
NZM00093417,-40.9044,174.9839,1973,2023,NZL
NZM00093431,-41.3,174.63,1994,2006,NZL
NZM00093545,-41.3,173.217,1973,1991,NZL
NZM00093614,-42.7167,170.9833,1973,2012,NZL
NZM00093677,-42.417,173.7,1973,1991,NZL
NZM00093769,-43.78,172.02,1994,2006,NZL
NZM00093780,-43.483,172.55,1954,1996,NZL
NZM00093817,-45.0378,169.6839,2016,2023,NZL
NZM00093844,-46.4108,168.3178,1950,2023,NZL
NZM00093890,-45.933,170.2,1973,1991,NZL
NZM00093944,-52.55,169.15,1957,1995,NZL
NZM00093986,-43.95,-176.5667,1956,2011,
NZM00093997,-29.2447,-177.9289,1952,2020,NZL
PAM00086068,-22.0167,-60.6167,2001,2005,PRY
PAM00086218,-25.2333,-57.5167,1975,2023,PRY
PEM00084378,-3.7333,-73.25,2003,2010,PER
PEM00084401,-5.2,-80.6,2002,2007,PER
PEM00084416,-5.1833,-80.6,2003,2011,PER
PEM00084628,-12.0167,-77.1167,1957,2021,PER
PEM00084629,-12.15,-77.0,2009,2010,PER
PEM00084752,-16.333,-71.567,1973,2006,PER
PFM00059981,16.8333,112.3333,1958,2023,
PKM00041506,35.9217,71.8,1975,2023,PAK
PKM00041515,35.5667,71.7833,1949,2023,PAK
PKM00041516,35.9167,74.3333,1976,2003,PAK
PKM00041529,34.0333,71.9333,1926,2022,PAK
PKM00041560,33.8667,70.0833,1975,2009,PAK
PKM00041571,33.6167,73.1,1973,2009,PAK
PKM00041594,32.05,72.667,1970,2007,PAK
PKM00041598,32.9333,73.7167,1949,2023,PAK
PKM00041600,32.5,74.5333,2003,2021,PAK
PKM00041624,31.8167,70.9167,1935,2023,PAK
PKM00041640,31.55,74.3333,1960,2023,PAK
PKM00041661,30.2667,66.9167,1926,2019,PAK
PKM00041675,30.2,71.4333,1940,2023,PAK
PKM00041678,29.95,73.25,1980,2022,PAK
PKM00041685,29.8833,69.7167,1973,2009,PAK
PKM00041696,29.0333,66.5833,2005,2007,PAK
PKM00041710,28.8167,62.75,1973,2018,PAK
PKM00041712,28.8833,64.4,1940,2019,PAK
PKM00041715,28.3,68.4667,1935,2023,PAK
PKM00041718,28.65,70.6833,1949,2023,PAK
PKM00041739,26.9667,64.1,1973,2018,PAK
PKM00041744,27.8333,66.6333,1973,2018,PAK
PKM00041749,26.25,68.3667,1973,2023,PAK
PKM00041756,25.0667,61.8,1938,2017,PAK
PKM00041759,25.2667,63.4833,2003,2003,
PKM00041764,25.3833,68.4167,2002,2021,PAK
PKM00041768,25.5167,69.7833,1949,2023,PAK
PKM00041780,24.9,67.1333,1926,2023,PAK
PLM00012120,54.7536,17.5347,1972,2023,POL
PLM00012330,52.417,16.85,1959,1992,POL
PLM00012374,52.4078,20.9564,1956,2023,POL
PLM00012425,51.1131,16.8811,1956,2023,POL
PMM00078807,8.9667,-79.5667,1946,2023,PAN
POM00008507,39.0833,-28.0333,2009,2017,PRT
POM00008508,38.7678,-27.0856,1946,2023,PRT
POM00008522,32.6333,-16.9,1948,2023,
POM00008579,38.7667,-9.1333,1948,2019,PRT
PPM00092035,-9.3833,147.2167,1944,2015,PNG
PPM00092044,-2.05,147.4167,1950,2013,PNG
PPM00094014,-5.217,145.783,1950,1995,PNG
PPM00094027,-6.733,147.0,1947,1987,PNG
PPM00094047,-5.567,146.55,1994,1996,
PPM00094076,-2.567,150.817,1992,1994,PNG
PPM00094085,-4.217,152.183,1950,1988,
PPM00094087,-10.7,152.833,1976,1995,
PSM00091408,7.3333,134.4833,1950,2023,
QAM00041169,25.2731,51.6081,1978,2023,
REM00061980,-20.8925,55.5286,1973,2023,FRA
REM00061984,-21.333,55.483,1973,1990,
RIM00013275,44.7667,20.4167,1971,2023,SRB
RIM00013388,43.3333,21.9,1973,2023,SRB
RMM00091366,8.7333,167.7333,1949,2023,MHL
RMM00091376,7.0683,171.2942,1952,2023,
ROM00015010,47.717,22.883,1974,1993,ROU
ROM00015090,47.167,27.633,1974,1991,ROU
ROM00015120,46.7778,23.5714,1951,2012,ROU
ROM00015145,46.533,24.533,1977,1993,ROU
ROM00015150,46.583,26.983,1974,1996,ROU
ROM00015200,46.167,21.317,1973,1993,ROU
ROM00015235,45.833,24.933,1991,1993,ROU
ROM00015260,45.783,24.083,1974,1989,ROU
ROM00015302,45.5,25.583,1977,1988,ROU
ROM00015310,45.5,28.2,1973,1989,MDA
ROM00015350,45.15,26.817,1977,1992,ROU
ROM00015360,45.15,29.667,1991,1998,ROU
ROM00015410,44.633,22.633,1974,1993,SRB
ROM00015420,44.5106,26.0781,1950,2023,ROU
ROM00015480,44.217,28.633,1965,2001,ROU
RPM00098223,18.1828,120.5342,1950,2023,PHL
RPM00098233,17.6375,121.7525,2017,2023,PHL
RPM00098322,15.317,120.383,1973,1988,PHL
RPM00098327,15.167,120.567,1947,1991,PHL
RPM00098328,16.4039,120.6014,1973,2023,PHL
RPM00098426,14.8,120.267,1973,1992,
RPM00098433,14.5814,121.3692,2000,2023,PHL
RPM00098444,13.1506,123.7283,1973,2023,PHL
RPM00098618,9.7403,118.7586,1973,2023,PHL
RPM00098646,10.3222,123.98,1973,2023,
RPM00098747,8.4089,124.6119,2014,2023,PHL
RPM00098753,7.1278,125.6547,1978,2023,PHL
