datetime,tmp,tmp_3h,tmp_6h,slp,slp_3h,slp_6h,QUALITY_CONTROL
2010-01-21 12:00:00,0.01,0.3433333333333326,0.2957142857142857,,,,V020
2010-01-22 00:00:00,3.0100000000000002,3.043333333333333,2.8385714285714285,1036.01,1036.11,1036.1814285714286,V020
2010-01-22 12:00:00,9.01,9.009999999999998,9.01,,,,V020
2010-01-23 00:00:00,11.11,11.209999999999999,11.309999999999999,1035.31,1035.3766666666668,,V020
2010-01-23 12:00:00,15.01,14.676666666666664,14.024285714285714,,,,V020
2010-01-24 00:00:00,13.309999999999999,13.076666666666666,12.024285714285712,1031.51,1031.4099999999999,1031.51,V020
2010-01-24 12:00:00,7.909999999999999,7.776666666666665,8.124285714285714,1028.41,1028.3766666666666,,V020
2010-01-25 00:00:00,11.11,11.243333333333332,10.952857142857141,1029.81,1029.9099999999999,1029.8242857142857,V020
2010-01-25 12:00:00,10.01,10.009999999999998,9.724285714285713,,,,V020
2010-01-26 00:00:00,7.709999999999999,8.043333333333331,7.71,1031.81,1031.61,1031.2671428571427,V020
2010-01-26 12:00:00,0.01,1.0099999999999982,1.8671428571428574,,,,V020
2010-01-27 00:00:00,3.81,3.409999999999999,3.6242857142857146,992.8100000000001,992.71,992.4814285714285,V020
2010-01-27 12:00:00,0.41,0.37666666666666515,0.5242857142857142,984.61,,,V020
2010-01-28 00:00:00,1.7100000000000002,1.9433333333333322,1.8671428571428572,987.9100000000001,987.9433333333333,987.9528571428572,V020
2010-01-28 12:00:00,10.01,10.343333333333332,10.295714285714284,,,,V020
2010-01-29 00:00:00,18.61,18.44333333333333,17.524285714285714,998.3100000000001,998.31,998.3100000000001,V020
2010-01-29 12:00:00,16.009999999999998,16.24333333333333,16.56714285714286,,,,V020
2010-01-30 00:00:00,,,,,,,
2010-01-30 12:00:00,12.01,12.343333333333334,,,,,V020
2010-01-31 00:00:00,,,,,,,
2010-01-31 12:00:00,,,,,,,
2010-02-01 00:00:00,,,,,,,
2010-02-01 12:00:00,12.01,11.676666666666668,,,,,V020
2010-02-02 00:00:00,14.209999999999999,14.076666666666666,13.752857142857142,1011.21,1011.11,1010.71,V020
2010-02-02 12:00:00,10.209999999999999,10.51,11.138571428571428,1010.21,1010.1433333333333,,V020
2010-02-03 00:00:00,6.909999999999999,7.009999999999999,6.324285714285714,1008.01,1007.9433333333333,1007.7242857142858,V020
2010-02-03 12:00:00,8.01,7.343333333333334,7.152857142857143,,,,V020
2010-02-04 00:00:00,10.809999999999999,10.81,10.452857142857143,1015.21,1015.31,1015.3957142857143,V020
2010-02-04 12:00:00,6.01,7.010000000000001,7.01,,,,V020
2010-02-05 00:00:00,8.11,7.843333333333333,7.595714285714285,1023.9100000000001,1023.9433333333332,1023.8957142857143,V020
2010-02-05 12:00:00,8.01,7.343333333333334,7.295714285714285,,,,V020
2010-02-06 00:00:00,1.01,1.7766666666666666,2.1242857142857146,1010.51,1010.5433333333332,1010.7099999999999,V020
2010-02-06 12:00:00,1.01,0.6766666666666667,0.8242857142857142,,,,V020
2010-02-07 00:00:00,0.41,0.31,0.2957142857142857,1012.11,1012.11,1011.9671428571428,V020
2010-02-07 12:00:00,1.81,1.5433333333333337,1.9385714285714286,,,,V020
2010-02-08 00:00:00,9.01,9.209999999999999,8.738571428571428,1014.11,1014.0766666666667,1014.0385714285713,V020
2010-02-08 12:00:00,7.01,8.01,8.581428571428571,,,,V020
2010-02-09 00:00:00,9.809999999999999,10.876666666666665,11.352857142857141,1018.51,1018.5766666666665,1018.5528571428573,V020
2010-02-09 12:00:00,9.51,10.209999999999999,10.024285714285714,1019.61,1019.5433333333334,,V020
2010-02-10 00:00:00,13.309999999999999,12.943333333333333,13.138571428571428,1016.9100000000001,1016.9766666666666,1016.8957142857143,V020
2010-02-10 12:00:00,13.01,12.943333333333333,13.124285714285714,,,,V020
2010-02-11 00:00:00,14.61,14.509999999999998,14.581428571428571,1009.71,1009.7099999999999,1009.71,V020
2010-02-11 12:00:00,13.01,13.343333333333334,13.767142857142856,,,,V020
2010-02-12 00:00:00,8.709999999999999,8.743333333333334,8.28142857142857,1016.9100000000001,1016.91,1016.8814285714286,V020
2010-02-12 12:00:00,0.01,0.01,1.3671428571428572,,,,V020
